0    -80.0024      0	0
0    -79.5021      0	0
0    -79.0019      0	0
0    -78.5017      0	0
0    -78.0014      0	0
0    -77.5012      0	0
0    -77.001      0	0
0    -76.5007      0	0
0    -76.0005      0	0
0    -75.5002      0	0
0    -75      0	0
0    -74.4998      0	0
0    -73.9995      0	0
0    -73.4993      0	0
0    -72.999      0	0
2264    -72.4988      1734.33	1455.27
1676    -71.9986      1274.44	1088.47
2250    -71.4983      1698.1	1476.13
2216    -70.9981      1659.69	1468.36
2201    -70.4979      1635.67	1472.75
2187    -69.9976      1612.43	1477.51
2173    -69.4974      1589.24	1481.98
2159    -68.9971      1566.09	1486.15
2142    -68.4969      1540.83	1487.95
1484    -67.9967      1058.47	1040.15
1517    -67.4964      1072.69	1072.68
2093    -66.9962      1467.01	1492.83
1871    -66.4959      1299.71	1345.88
2075    -65.9957      1428.34	1505.15
1558    -65.4955      1062.56	1139.44
2076    -64.9952      1402.53	1530.58
2044    -64.495      1367.71	1518.98
2034    -63.9947      1347.78	1523.37
2023    -63.4945      1327.22	1526.77
2019    -62.9943      1311.25	1535.25
2003    -62.494      1287.51	1534.38
1997    -61.9938      1270.26	1540.93
2092    -61.4936      1316.55	1625.78
2275    -60.9933      1416.23	1780.42
1746    -60.4931      1074.96	1375.86
2301    -59.9928      1400.77	1825.5
2426    -59.4926      1460.02	1937.48
2459    -58.9924      1462.69	1976.67
2469    -58.4921      1451.26	1997.45
2494    -57.9919      1448.29	2030.39
2560    -57.4916      1468.37	2097.02
2703    -56.9914      1531.02	2227.6
2688    -56.4912      1503.13	2228.44
2679    -55.9909      1478.66	2233.97
2675    -55.4907      1456.93	2243.43
2658    -54.9904      1428.17	2241.72
2656    -54.4902      1407.49	2252.4
2642    -53.99      1380.47	2252.66
2638    -53.4897      1358.7	2261.19
2629    -52.9895      1334.34	2265.21
2615    -52.4893      1307.53	2264.64
2605    -51.989      1282.79	2267.26
2603    -51.4888      1261.99	2276.62
2593    -50.9885      1237.3	2278.76
2590    -50.4883      1215.96	2286.82
2586    -49.9881      1194.11	2293.79
2574    -49.4878      1168.6	2293.44
2584    -48.9876      1153.01	2312.49
2574    -48.4873      1128.4	2313.48
2561    -47.9871      1102.57	2311.51
2554    -47.4869      1079.4	2314.69
2545    -46.9866      1055.43	2315.84
2539    -46.4864      1032.74	2319.48
2533    -45.9861      1010.07	2322.9
2532    -45.4859      989.367	2330.7
2526    -44.9857      966.694	2333.7
2517    -44.4854      942.921	2333.71
2518    -43.9852      922.887	2342.78
2517    -43.485      902.05	2349.81
2519    -42.9847      882.211	2359.46
2511    -42.4845      858.852	2359.55
2500    -41.9842      834.557	2356.59
2500    -41.484      813.961	2363.78
2506    -40.9838      795.207	2376.49
2498    -40.4835      771.967	2375.73
2498    -39.9833      751.206	2382.37
2504    -39.483      732.142	2394.57
2492    -38.9828      707.81	2389.37
2511    -38.4826      692.171	2413.72
1629    -37.9823      435.361	1569.75
1591    -37.4821      411.811	1536.78
1666    -36.9818      417.165	1612.93
1642    -36.4816      397.267	1593.22
1723    -35.9814      402.26	1675.39
2010    -35.4811      452.191	1958.47
2000    -34.9809      432.919	1952.58
2004    -34.4807      416.696	1960.2
1999    -33.9804      398.578	1958.86
1998    -33.4802      381.278	1961.28
1990    -32.9799      362.691	1956.67
1986    -32.4797      344.908	1955.82
1991    -31.9795      328.653	1963.69
1946    -31.4792      304.464	1922.03
1907    -30.979      281.915	1886.05
2409    -30.4787      335.323	2385.55
2428    -29.9785      316.973	2407.22
2444    -29.4783      297.905	2425.78
2311    -28.978      261.667	2296.14
1658    -28.4778      173.348	1648.91
1675    -27.9775      160.582	1667.28
1267    -27.4773      110.457	1262.18
1267    -26.9771      99.4388	1263.09
2214    -26.4768      154.496	2208.6
2166    -25.9766      132.286	2161.96
2170    -25.4764      113.624	2167.02
2182    -24.9761      95.2335	2179.92
2196    -24.4759      76.6963	2194.66
2207    -23.9756      57.8304	2206.24
2211    -23.4754      38.6458	2210.66
2187    -22.9752      19.1434	2186.92
2223    -22.4749      0.0600065	2223
2250    -21.9747      -19.5734	2249.91
2244    -21.4744      -39.1015	2243.66
2222    -20.9742      -58.1035	2221.24
2212    -20.474      -77.1357	2210.65
2224    -19.9737      -96.9467	2221.89
2239    -19.4735      -117.116	2235.93
2260    -18.9732      -137.905	2255.79
999    -18.473      -69.6578	996.569
2277    -17.9728      -178.585	2269.99
2276    -17.4725      -198.299	2267.34
593    -16.9723      -56.8189	590.272
591    -16.4721      -61.7586	587.764
588    -15.9718      -66.5458	584.222
586    -15.4716      -71.3976	581.634
587    -14.9713      -76.6009	581.98
583    -14.4711      -81.12	577.329
583    -13.9709      -86.1548	576.599
577    -13.4706      -90.2447	569.899
575    -12.9704      -94.8843	567.117
575    -12.4701      -99.8295	566.268
574    -11.9699      -104.585	564.392
574    -11.4697      -109.506	563.458
573    -10.9694      -114.219	561.501
571    -10.4692      -118.699	558.526
568    -9.96895      -122.919	554.54
565    -9.46871      -127.079	550.523
564    -8.96847      -131.645	548.421
560    -8.46823      -135.458	543.37
565    -7.96799      -141.446	547.008
561    -7.46775      -145.179	541.889
557    -6.96752      -148.833	536.747
559    -6.46728      -154.062	537.351
561    -5.96704      -159.314	537.904
568    -5.4668      -166.048	543.187
592    -4.96656      -177.998	564.607
618    -4.46632      -190.951	587.76
650    -3.96608      -206.226	616.418
2036    -3.46584      -662.786	1925.1
1933    -2.96561      -645.181	1822.15
1918    -2.46537      -655.927	1802.35
0    -1.96513      0	0
0    -1.46489      0	0
0    -0.96465      0	0
0    -0.464411      0	0
0    0.035828      0	0
1268    0.536067      -495.402	1167.22
1287    1.03631      -513.144	1180.28
1891    1.53654      -769.071	1727.54
1919    2.03678      -795.727	1746.25
0    2.53702      0	0
1900    3.03726      -817.902	1714.94
1742    3.5375      -763.579	1565.73
